DEPARTAMENTO;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
AMAZONAS;;;;;1;1;;;;1;;3;5
ANCASH;;;;;15;8;21;15;28;28;;43;31
APURIMAC;;;;;1;2;2;4;8;9;;25;17
AREQUIPA;;;;;22;15;22;21;24;30;;61;40
AYACUCHO;;;;;;2;6;4;12;11;;18;22
CAJAMARCA;;;;;2;4;5;7;12;8;;15;26
CALLAO;;;;;7;11;7;9;10;9;;8;18
CUSCO;;;;;4;11;20;13;23;28;;42;45
HUANCAVELICA;;;;;;3;2;5;8;8;;15;8
HUANUCO;;;;;1;3;4;5;11;9;;18;15
ICA;;;;;11;14;16;13;18;22;;23;45
JUNIN;;;;;10;16;14;15;24;30;;46;42
LA LIBERTAD;;;;;3;5;13;16;18;21;;25;28
LAMBAYEQUE;;;;;2;4;7;5;7;9;;17;11
PROVINCIA DE LIMA 1/;;;;;50;48;38;40;42;46;;58;53
LORETO;;;;;;4;3;2;2;1;;2;4
MADRE DE DIOS;;;;;;;;;;;;2;
MOQUEGUA;;;;;4;2;2;3;3;3;;2;8
PASCO;;;;;4;7;6;5;9;8;;10;8
PIURA;;;;;7;7;11;8;14;13;;10;15
PUNO;;;;;3;1;5;5;10;13;;24;23
SAN MARTIN;;;;;;2;4;2;4;3;;6;5
TACNA;;;;;4;6;7;7;9;8;;10;9
TUMBES;;;;;;;4;3;2;1;;4;9
UCAYALI;;;;;3;3;4;7;7;8;;9;14
LIMA PROVINCIAS 2/;;;;;10;14;17;15;22;33;;39;47
