DEPARTAMENTO;2015;2016;2017;2018;2019;2020;2021;2022
AMAZONAS;24;22;23;31;24;22;21;19
ANCASH;52;72;86;84;61;54;86;84
APURIMAC;14;17;26;25;14;14;30;32
AREQUIPA;45;57;53;57;47;46;52;64
AYACUCHO;17;31;50;51;42;38;61;54
CAJAMARCA;28;41;46;47;33;33;46;48
PROVINCIA CONSTITUCIONAL DEL CALLAO;5;6;7;7;7;7;6;4
CUSCO;53;66;69;76;69;66;74;74
HUANCAVELICA;15;29;42;39;34;34;37;42
HUANUCO;28;41;50;50;43;41;58;56
ICA;25;25;31;29;27;27;32;29
JUNIN;45;43;56;57;62;60;82;78
LA LIBERTAD;30;40;35;41;32;32;47;48
LAMBAYEQUE;23;23;25;25;26;26;21;20
LIMA;84;80;87;100;81;81;98;90
LORETO;16;21;24;31;18;19;23;25
MADRE DE DIOS;6;7;6;8;6;6;6;8
MOQUEGUA;9;10;10;12;7;7;8;13
PASCO;16;15;22;25;16;16;24;22
PIURA;42;40;49;46;43;44;45;46
PUNO;26;35;49;57;45;43;56;55
SAN MARTIN;26;35;28;34;30;30;24;33
TACNA;13;15;18;19;16;17;17;18
TUMBES;10;10;9;11;9;9;10;8
UCAYALI;6;8;11;13;13;13;12;11
