DEPARTAMENTO;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
LIMA;9838251;9989369;9485405;10180641;10416139;10607349;10792803;10963825;11125188;11281673
PIURA;1844129;1858617;1856809;1974368;2013517;2047954;2077039;2103099;2127093;2149978
LA LIBERTAD;1859640;1882405;1778080;1938501;1979901;2016771;2048492;2077345;2104254;2044165
AREQUIPA;1287205;1301298;1382730;1428708;1464638;1497438;1526669;1553994;1580075;1605569
CAJAMARCA;1529755;1533783;1341012;1438325;1447891;1453711;1455245;1454217;1451436;1447707
CUSCO;1316729;1324371;1205527;1320530;1340457;1357075;1369932;1380594;1389737;1398036
JUNIN;1350783;1360506;1246038;1335139;1350021;1361467;1369003;1374221;1377838;1380561
LAMBAYEQUE;1260650;1270794;1197260;1270295;1292105;1310785;1325912;1338994;1350663;1361554
CALLAO;1010315;1024439;994494;1078789;1105512;1129854;1151480;1171648;1190860;1209614
PUNO;1415608;1429098;1172697;1236836;1239022;1237997;1233277;1226353;1217951;1208802
ANCASH;1148634;1154639;1083519;1155451;1169522;1180638;1188391;1194156;1198547;1202171
ICA;787170;794919;850765;923175;950100;975182;998144;1020050;1041312;1062346
LORETO;1039372;1049364;883510;1000350;1015212;1027559;1037055;1044884;1051560;1057592
SAN MARTIN;840790;851883;813381;866861;884283;899648;912674;924384;935194;945523
HUANUCO;860537;866631;721047;757467;759851;760267;758416;755213;751097;746509
AYACUCHO;688657;696152;616176;659061;664494;668213;669979;670579;670377;669737
UCAYALI;495522;501269;496459;558767;574509;589110;602400;615024;627233;639279
AMAZONAS;422629;423898;379384;419833;423863;426806;428512;429483;429943;430123
APURIMAC;458830;460868;405759;427323;429587;430736;430609;429720;428311;426626
TACNA;341838;346013;329332;354644;363205;370974;377842;384222;390279;396180
HUANCAVELICA;494963;498556;347639;376346;371260;365317.3;358356;350845;343026;335142
TUMBES;237685;240590;224863;241321;246699;251521;255712;259556;263164;266653
PASCO;304158;306322;254065;271704;272157;271904;270842;269296;267425;265392
MOQUEGUA;180477;182333;174863;186371;189781;192740;195185;197337;199286;201129
MADRE DE DIOS;137316;140508;141070;161324;167674;173811;179688;185478;191259;197096
